model_name,backbone,model_path,metrics_path,accuracy,precision,recall,f1_score,val_accuracy,generalization_gap_abs,training_time_seconds,model_size_mb,speed_bucket,deployment_note,confusion_matrix,classification_report,class_names,confusion_matrix_path,curves_paths,y_pred,y_score,streamlit_suitability,selection_score
resnet50,resnet50,/content/drive/MyDrive/Aerial_Object_Classification_Detection/models/classification/resnet50/best_model.keras,/content/drive/MyDrive/Aerial_Object_Classification_Detection/models/classification/resnet50/metrics.json,0.986046511627907,1.0,0.9680851063829787,0.9837837837837838,0.9660633484162896,0.019983163211617416,8201.833737824,96.633,slower,Heavier backbone; good accuracy potential but slower deployment.,"[[121, 0], [3, 91]]","{'bird': {'precision': 0.9758064516129032, 'recall': 1.0, 'f1-score': 0.9877551020408163, 'support': 121.0}, 'drone': {'precision': 1.0, 'recall': 0.9680851063829787, 'f1-score': 0.9837837837837838, 'support': 94.0}, 'accuracy': 0.986046511627907, 'macro avg': {'precision': 0.9879032258064516, 'recall': 0.9840425531914894, 'f1-score': 0.9857694429123001, 'support': 215.0}, 'weighted avg': {'precision': 0.986384096024006, 'recall': 0.986046511627907, 'f1-score': 0.9860188047563463, 'support': 215.0}}","['bird', 'drone']",/content/drive/MyDrive/Aerial_Object_Classification_Detection/figures/evaluation/resnet50_confusion_matrix.png,"['/content/drive/MyDrive/Aerial_Object_Classification_Detection/figures/training/resnet50_accuracy.png', '/content/drive/MyDrive/Aerial_Object_Classification_Detection/figures/training/resnet50_loss.png']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1]","[5.53898863e-04 1.52375986e-04 1.59024828e-04 8.07845499e-05
 2.92216964e-06 3.58054967e-04 1.17778909e-05 1.31439490e-04
 1.44808355e-03 1.06542093e-05 2.14550946e-05 1.13749820e-05
 3.32429991e-05 1.76858509e-06 3.34718811e-06 2.07035282e-06
 4.10179375e-08 7.23450258e-02 3.76928685e-04 1.61817770e-05
 1.90822375e-05 7.72566274e-02 1.10784829e-04 2.34737781e-05
 1.33137637e-05 1.85073395e-06 1.03742204e-05 6.57496712e-05
 3.53068317e-04 2.50324199e-04 2.98512132e-05 3.02538433e-06
 2.81953016e-05 2.18782574e-03 4.46287813e-05 1.53894507e-06
 2.08671267e-07 3.64711268e-05 5.78327581e-06 1.21915482e-05
 4.40461934e-09 5.65015853e-06 7.01024646e-06 2.24834564e-03
 6.48087462e-06 3.87005734e-08 2.95836665e-02 3.34219629e-04
 5.03563322e-04 5.17104309e-06 2.97386509e-06 2.48473021e-04
 4.92620020e-05 9.69620235e-03 7.89776444e-04 6.93945310e-07
 1.07828360e-08 2.09139143e-05 3.82095022e-05 4.85442542e-05
 1.13161786e-06 9.29155760e-07 2.26403536e-05 1.87264959e-05
 3.04179676e-02 6.81752954e-06 8.43856398e-08 9.04623943e-04
 2.47485872e-07 5.51161293e-07 2.52610761e-07 4.39313681e-06
 3.77448572e-07 1.14310482e-04 8.09747326e-06 2.58721244e-02
 1.13545311e-05 1.67005783e-05 1.42060075e-04 4.05984792e-06
 3.49342154e-04 1.29098553e-04 1.20417128e-04 2.96300232e-01
 6.51421869e-05 1.65252699e-04 5.79738580e-02 7.99631598e-05
 7.04241029e-06 3.72332288e-05 1.27624418e-03 5.21393633e-03
 1.37166819e-04 4.66600264e-04 2.45829960e-05 8.89242510e-05
 5.14131352e-05 1.75365585e-05 2.33906298e-03 8.02058566e-05
 9.03715263e-05 1.18096204e-05 7.05590395e-08 1.17211323e-06
 1.26511964e-04 1.31399604e-03 2.83908707e-06 3.49220727e-07
 1.03174089e-05 2.31141044e-08 7.67251942e-03 5.09442179e-04
 1.64092235e-05 3.54857220e-05 2.88245531e-07 7.44371846e-07
 4.38274257e-03 8.47112387e-04 1.45910293e-04 2.31211015e-05
 3.32084869e-06 9.99961257e-01 9.99996603e-01 9.99842167e-01
 9.99384463e-01 9.99998152e-01 9.99998868e-01 9.98962224e-01
 9.99984205e-01 9.99998569e-01 9.99920487e-01 9.99988735e-01
 9.99999166e-01 9.99635637e-01 9.99931812e-01 9.99958098e-01
 9.99998569e-01 9.99999583e-01 9.99996543e-01 9.99997795e-01
 9.99999285e-01 9.99154687e-01 9.99999344e-01 9.99994934e-01
 9.99977291e-01 9.87086952e-01 9.96327102e-01 9.99999881e-01
 9.99999642e-01 9.99999762e-01 9.99437153e-01 9.99247372e-01
 9.99925435e-01 3.67421836e-01 9.99958634e-01 9.99994218e-01
 9.99999344e-01 9.99724567e-01 9.98633385e-01 9.99995410e-01
 9.99994874e-01 9.99991298e-01 9.97090161e-01 9.99999225e-01
 9.99999464e-01 9.99727786e-01 9.99975801e-01 9.99998808e-01
 9.99996841e-01 9.99999464e-01 9.99996424e-01 9.91320491e-01
 9.63419497e-01 9.99972224e-01 9.99977887e-01 9.99948263e-01
 9.99999940e-01 9.99999523e-01 9.99959946e-01 9.99998331e-01
 9.99997854e-01 9.99999881e-01 9.99999940e-01 9.99995887e-01
 9.99999702e-01 9.99976695e-01 9.99999821e-01 9.81328011e-01
 9.99998450e-01 9.99999642e-01 4.46657330e-01 9.99995828e-01
 9.99991298e-01 9.99999046e-01 9.99984384e-01 9.99997973e-01
 9.56609070e-01 9.99783218e-01 9.46864903e-01 9.93555307e-01
 9.99997556e-01 9.99989569e-01 9.99908388e-01 9.76079941e-01
 9.99359071e-01 9.99957502e-01 9.99999344e-01 9.99829710e-01
 9.86773193e-01 9.99824762e-01 1.81323618e-01 9.99928951e-01
 9.99996185e-01 9.99973714e-01 9.99167681e-01]",limited,0.9848353357376265
efficientnetb0,efficientnetb0,/content/drive/MyDrive/Aerial_Object_Classification_Detection/models/classification/efficientnetb0/best_model.keras,/content/drive/MyDrive/Aerial_Object_Classification_Detection/models/classification/efficientnetb0/metrics.json,0.9720930232558139,0.9782608695652174,0.9574468085106383,0.967741935483871,0.9864253393665159,0.01433231611070196,4291.913509751999,27.181,medium,Good balance between efficiency and accuracy.,"[[119, 2], [4, 90]]","{'bird': {'precision': 0.967479674796748, 'recall': 0.9834710743801653, 'f1-score': 0.9754098360655737, 'support': 121.0}, 'drone': {'precision': 0.9782608695652174, 'recall': 0.9574468085106383, 'f1-score': 0.967741935483871, 'support': 94.0}, 'accuracy': 0.9720930232558139, 'macro avg': {'precision': 0.9728702721809828, 'recall': 0.9704589414454019, 'f1-score': 0.9715758857747223, 'support': 215.0}, 'weighted avg': {'precision': 0.9721933134397067, 'recall': 0.9720930232558139, 'f1-score': 0.9720573586019455, 'support': 215.0}}","['bird', 'drone']",/content/drive/MyDrive/Aerial_Object_Classification_Detection/figures/evaluation/efficientnetb0_confusion_matrix.png,"['/content/drive/MyDrive/Aerial_Object_Classification_Detection/figures/training/efficientnetb0_accuracy.png', '/content/drive/MyDrive/Aerial_Object_Classification_Detection/figures/training/efficientnetb0_loss.png']","[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1]","[9.98186052e-01 5.49703618e-05 5.18007837e-05 1.26655120e-03
 1.85296485e-05 3.54901895e-05 5.06729353e-04 2.81110872e-04
 5.48128085e-03 2.34927465e-05 5.11532835e-06 2.07070407e-05
 3.36226344e-06 4.05688043e-05 1.79748258e-05 3.25426117e-05
 8.05298216e-04 2.31280610e-01 1.38094518e-04 8.33018385e-06
 2.78279240e-05 2.77318613e-05 1.61509452e-05 2.01827083e-02
 3.32835020e-06 6.15620957e-06 1.70549083e-05 5.27565271e-06
 1.78284845e-05 3.95628340e-05 2.41638627e-04 5.42306452e-07
 9.10755989e-06 4.47876257e-04 1.07944952e-05 2.24306459e-05
 3.34514880e-05 2.04250915e-03 1.94553286e-05 4.54775318e-06
 7.96434324e-06 6.10236339e-06 6.53479901e-07 3.81318969e-05
 1.37541583e-05 4.00635035e-05 3.55592019e-05 6.14853270e-05
 3.21738422e-02 5.52640122e-04 1.57088539e-06 5.60255467e-06
 3.82227969e-04 4.14160496e-07 3.24018329e-05 6.32797583e-06
 5.26781264e-07 7.98661422e-05 2.70298973e-04 2.20731119e-04
 8.03439946e-08 1.29424938e-04 8.16095144e-06 2.51127040e-05
 9.79716629e-02 4.77752692e-05 1.17771437e-04 4.34995629e-04
 5.23138406e-05 4.53444909e-06 7.92490609e-05 6.32791242e-08
 3.98852892e-04 4.34665599e-05 8.44649264e-07 5.98320484e-01
 1.58276700e-03 4.51957923e-04 9.35279388e-07 6.80474273e-04
 1.79355475e-03 7.46257196e-04 3.78986617e-04 7.98891298e-04
 1.73186927e-04 5.27036477e-08 1.44530131e-04 1.16850151e-06
 3.93996161e-05 9.88744614e-06 8.74168381e-06 1.72173756e-03
 4.66139027e-05 1.35297800e-04 5.78969848e-05 7.79647166e-07
 1.12530270e-05 1.44873866e-05 2.84241658e-04 4.68594197e-04
 4.43860608e-06 2.05686811e-05 2.49166874e-06 3.95351060e-04
 1.33075182e-05 2.07125504e-05 7.99517125e-07 2.11645499e-07
 1.51282063e-06 1.25100522e-03 2.55526938e-05 3.42469284e-05
 2.67205262e-08 1.08808390e-05 1.98248199e-05 1.26201799e-03
 1.82245651e-06 2.01667819e-04 4.00765042e-04 1.45968916e-05
 2.10886355e-05 9.99989510e-01 9.99963701e-01 9.99990761e-01
 9.99884903e-01 9.99787748e-01 9.99924302e-01 9.99909639e-01
 9.99985099e-01 9.99999762e-01 9.99994576e-01 9.99946535e-01
 9.99965608e-01 9.99964476e-01 9.99822617e-01 9.99785006e-01
 9.99799073e-01 9.99737918e-01 9.99973416e-01 9.99927461e-01
 9.99960959e-01 9.99892473e-01 9.99943674e-01 9.99945343e-01
 9.99019027e-01 3.81110549e-01 9.98939872e-01 9.99859989e-01
 9.99853432e-01 9.99999940e-01 9.99950349e-01 9.99670386e-01
 9.99823213e-01 5.23484230e-01 9.99954224e-01 9.99993145e-01
 9.64239776e-01 9.99891698e-01 9.99598205e-01 9.99889672e-01
 9.99914706e-01 9.99991238e-01 9.98624206e-01 9.99996841e-01
 9.99997377e-01 9.99716401e-01 9.97698843e-01 9.99940097e-01
 9.99999821e-01 9.99875605e-01 9.99950349e-01 9.84656096e-01
 9.96733844e-01 9.99999821e-01 9.99917209e-01 9.99893069e-01
 9.99928713e-01 9.99999344e-01 9.99995112e-01 9.99886990e-01
 9.99979913e-01 9.99996662e-01 9.99870300e-01 9.99925256e-01
 9.99580681e-01 9.99989033e-01 9.99043167e-01 9.99098420e-01
 9.99999166e-01 9.99992728e-01 7.16538072e-01 9.97282147e-01
 9.96816933e-01 9.99992073e-01 9.99030769e-01 9.99703228e-01
 9.99971688e-01 9.99673069e-01 9.16113853e-01 9.99972463e-01
 9.99884009e-01 9.98594820e-01 9.99810576e-01 3.26601714e-01
 9.94803667e-01 9.99954760e-01 9.99499738e-01 1.53502926e-01
 8.01917374e-01 9.99765158e-01 1.66579690e-02 9.99937713e-01
 9.99932528e-01 9.99762416e-01 9.99943256e-01]",good,0.9711706096822781
custom_cnn,custom_cnn,/content/drive/MyDrive/Aerial_Object_Classification_Detection/models/classification/custom_cnn/best_model.keras,/content/drive/MyDrive/Aerial_Object_Classification_Detection/models/classification/custom_cnn/metrics.json,0.827906976744186,0.8275862068965517,0.7659574468085106,0.7955801104972375,0.7805429864253394,0.04736399031884664,,13.986,medium,Light-to-moderate size custom model; suitable if accuracy is competitive.,"[[106, 15], [22, 72]]","{'bird': {'precision': 0.828125, 'recall': 0.8760330578512396, 'f1-score': 0.8514056224899599, 'support': 121.0}, 'drone': {'precision': 0.8275862068965517, 'recall': 0.7659574468085106, 'f1-score': 0.7955801104972375, 'support': 94.0}, 'accuracy': 0.827906976744186, 'macro avg': {'precision': 0.8278556034482758, 'recall': 0.8209952523298751, 'f1-score': 0.8234928664935988, 'support': 215.0}, 'weighted avg': {'precision': 0.8278894346431436, 'recall': 0.827906976744186, 'f1-score': 0.8269981893396534, 'support': 215.0}}","['bird', 'drone']",/content/drive/MyDrive/Aerial_Object_Classification_Detection/figures/evaluation/custom_cnn_confusion_matrix.png,"['/content/drive/MyDrive/Aerial_Object_Classification_Detection/figures/training/custom_cnn_accuracy.png', '/content/drive/MyDrive/Aerial_Object_Classification_Detection/figures/training/custom_cnn_loss.png']","[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 1 1 0 1 1 1 1 0 1 0 1
 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1
 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 0 0 1]","[9.76640135e-02 9.14474111e-03 1.13636325e-03 3.80901843e-02
 1.29658803e-01 1.83111861e-01 2.95687560e-02 1.42143384e-01
 2.32521623e-01 1.97229019e-04 2.04868410e-02 5.06139338e-01
 2.87590235e-01 4.05018000e-06 1.74215697e-02 1.78541224e-02
 9.27717447e-01 5.19455597e-02 1.65911898e-01 9.50116431e-04
 7.95521140e-01 4.81909215e-02 1.94660515e-01 6.03703141e-01
 9.46924388e-01 3.23272258e-01 1.34178600e-03 5.18935800e-01
 3.83774608e-01 2.52553225e-01 9.27940756e-02 4.97414218e-03
 8.74102786e-02 2.24295437e-01 4.31203209e-02 1.74187154e-01
 2.62339532e-01 3.22414748e-02 3.17209661e-01 9.60802659e-04
 5.53760290e-01 1.63023907e-03 2.48968718e-03 1.11607834e-08
 5.04793040e-03 1.59353961e-03 7.82259166e-01 7.36748204e-02
 1.90315191e-02 6.06656373e-01 4.20884728e-01 1.76875085e-01
 3.55254151e-02 9.52980816e-02 1.42208545e-03 2.69330740e-01
 4.33479637e-01 1.36921760e-02 9.61508817e-07 2.73736805e-01
 2.67763535e-05 8.95883590e-02 1.37423754e-01 5.82698092e-04
 3.47971231e-01 5.06904483e-01 3.59505028e-01 2.73395255e-02
 2.39869758e-01 9.16311331e-03 4.55626488e-01 1.84108928e-01
 1.28620401e-01 4.44599986e-01 1.63545590e-02 1.88637778e-01
 1.12252105e-02 7.52363503e-01 4.40664813e-02 3.32876354e-01
 2.94922218e-02 1.11287348e-01 1.08647051e-04 2.72699445e-03
 2.08457723e-01 7.01597333e-01 1.61557067e-02 4.45368111e-01
 1.86766312e-02 6.77713659e-04 2.42985040e-02 3.11723780e-02
 6.02966487e-01 3.83715238e-03 9.12127923e-03 2.36819440e-04
 6.87603606e-03 2.58939583e-02 2.75938511e-01 3.65157425e-02
 7.05694547e-03 3.38508070e-01 4.58334535e-02 2.53782549e-04
 1.89693921e-07 3.92810851e-02 1.13193318e-03 1.06457181e-01
 4.90251809e-01 5.29407859e-01 1.12819634e-01 7.12614087e-03
 3.63738164e-02 2.81846453e-03 5.05741119e-01 2.81588337e-03
 2.92430639e-01 3.12110126e-01 4.99413945e-02 4.26658103e-03
 1.65777057e-01 8.28739583e-01 8.35163295e-01 7.32798636e-01
 8.65213990e-01 8.56469393e-01 8.06428552e-01 7.96804011e-01
 8.18635046e-01 8.77643585e-01 8.80622685e-01 2.43888311e-02
 7.28705436e-06 9.98880982e-01 1.95912063e-01 1.46694910e-02
 9.97601807e-01 9.84727204e-01 9.94901955e-01 4.52503175e-01
 9.89218593e-01 9.96226966e-01 5.18746316e-01 9.95221913e-01
 8.37571174e-03 9.97018933e-01 3.01158369e-01 9.15778756e-01
 7.74446845e-01 9.01020825e-01 9.74508047e-01 5.31268656e-01
 8.87835979e-01 8.93645704e-01 2.61386693e-01 9.33936894e-01
 9.72189307e-01 9.95118678e-01 7.96070158e-01 9.92349029e-01
 9.67899978e-01 9.97020841e-01 5.41489303e-01 8.31413031e-01
 9.99886036e-01 9.99708116e-01 9.98619914e-01 9.93223131e-01
 9.99583662e-01 9.99369502e-01 7.26478279e-01 9.56237018e-01
 8.92471313e-01 3.48886132e-01 9.81084406e-01 9.96021688e-01
 9.93301809e-01 9.65158284e-01 5.03034949e-01 9.93093550e-01
 9.95413959e-01 7.56411433e-01 9.99919772e-01 3.66036892e-01
 9.96843278e-01 4.59782779e-01 9.98985291e-01 1.61701813e-01
 6.85257673e-01 5.22654057e-01 1.24908343e-03 9.90478337e-01
 7.73352146e-01 9.86981690e-01 9.94141102e-01 7.87075758e-01
 2.32451618e-01 9.99318421e-01 1.25009596e-01 8.62942934e-01
 1.53607978e-02 9.94862497e-01 1.87559307e-01 8.12054873e-01
 5.86567044e-01 7.02494681e-02 8.05243254e-01 2.35400915e-01
 9.99874771e-01 5.71908474e-01 3.68658870e-01 9.52874601e-01
 3.84930700e-01 4.50543493e-01 5.01505613e-01]",good,0.8212060650683908
